Objective Tag,Objective Description,Evidence Statements,In BS1,In BS2,In DS,In CSP,CSP-Exclusions,Notes
,,"3. comparison of properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions)",Y,,Y,,,
,,"4. identification of the equation y = mx + b as a linear function, whose graph is a straight line",N,,N,,,
,,"5. identification of functions that are not linear, such as A = s2, by the fact that their graphs do not form a straight line",N,,N,,,
8.F.4,The student models relationships between quantities using functions,1. construction of a function to model a linear relationship between two quantities,Y,,Y,,,
,,"2. determination of the rate of change and initial value of a function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph",Y,,N,,,
,,"3. interpretation of the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values",Y,,N,,,
8.F.5,The student models relationships between quantities using functions,"4. use of a qualitative description (e.g., where the function is increasing or decreasing, linear or nonlinear) to describe the functional relationship between two quantities",Y,,Y,,,
,,5. sketch of a graph that exhibits the qualitative features of a function that has been described verbally,N,,N,,,
N-RN,The student extends the properties of exponents to rational exponents,1. use of the properties of exponents to describe rational exponents and relate them to radicals,N,,N,,,
,,"2. explanation of how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents (for example, we define 51/3 to be the cube root of 5 because we want (51/3)3 = 5(1/3)3 to hold, so (51/3)3 must equal 5)",N,,N,,,
,,3. use of the properties of exponents to simplify expressions involving radicals and rational exponents,N,,N,,,
,,4. Rewritten expressions involving radicals and rational exponents using the properties of exponents,N,,N,,,
,The student uses properties of rational and irrational numbers,1. explanation for why the sum or product of two rational numbers is rational,N,,N,,,
,,2. explanation that the sum of a rational number and an irrational number is irrational,N,,N,,,
,,3. explanation that the product of a nonzero rational number and an irrational number is irrational,N,,N,,,
A-REI.1-2,The student explains the reasoning for the process of solving equations,1. construction of a viable argument to justify each step in solving a simple equation,N,,N,,,
,,2. reasoning for the existence of extraneous solutions in simple rational and radical equations in one variable,N,,N,,,
A-REI.3-4,The student solves linear and quadratic equations and inequalities in one variable,"1. solution of linear equations and inequalities in one variable, including equations with coefficients represented by letters",N,,N,,,
,,2. solution of quadratic equations in one variable,N,,N,,,
,,3. use of completing the square to transform any quadratic equation into an equation of the form (x _ p)^2 = q,N,,N,,,
,,4. use of completing the square to derive the quadratic formula,N,,N,,,
,,"5. use of an appropriate algebraic method (inspection, taking square roots, completing the square, the quadratic formula, or factoring) to solve quadratic equations",N,,N,,,
A-REI.5-9,The student solves systems of linear equations and simple systems of a linear and a quadratic equation,"1. proof that given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions",N,,N,,,
,,"2. solution to systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables",N,,N,,,
,,3. solution to a simple system of a linear equation and a quadratic equation in two variables algebraically and graphically,N,,N,,,
A-REI.10-12,The student uses a graph to represent and solve equations and inequalities,1. use of a graph of an equation in two variables to identify all solutions of the curve plotted on the coordinate plane,N,,N,,,
,,2. representation of the solution of the equation f(x) = g(x) as the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect,N,,N,,,
,,"3. use of approximation by technology to find the solution of a system of equations, where f(x) and/or g(x) are linear, polynomial, rational, absolute value, exponential, and logarithmic functions",N,,N,,,
,,4. graph of the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality),N,,N,,,
,,5. graph of the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes,N,,N,,,
F-IF.1-3,"The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range",description of a function using terms domain and range,Y,,N,,,
,,"explanation that if f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x",Y,,Y,,,
,,graph of f as the graph of the equation y = f(x),N,,Y,,,
,,evaluation of functions using function notation for inputs in their domains,Y,,N,,,
,,interpretation of statements that use function notation in terms of a context,Y,,Y,,,
F-IF.4-6,The student interprets the behavior of functions that arise in applications in terms of the context,interpretation of a relationship between two quantities in a table or graph in terms of key features,Y,,N,,,
,,use of verbal descriptions of key features to graph a function,Y,,N,,,
,,"relation of the domain of a function to its graph and, where applicable, to the quantitative relationship it describes",Y,,N,,,
,,calculation and interpretation of the average rate of change of a function (presented symbolically or as a table) over a specified interval,N,,N,,,
,,estimation of the rate of change from a graph,N,,N,,,
F-IF.7-9,The student uses different representations of a function to make generalizations about key features of function behavior and to compare functions to one another,"graphs of linear and quadratic functions showing intercepts, maxima, and minima",N,,N,,,
,,"graphs of square root, cube root, and piecewise-defined functions, including step functions.",N,,N,,,
,,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.",N,,N,,,
,,"Graph rational functions, identifying zeros and asymptoteswhen suitable factorizations are available, and showing endbehavior",N,,N,,,
,,"graphs of exponential and logarithmic functions, showing intercepts and end behavior.",N,,N,,,
,,"Use the process of factoring and completing the square in aquadratic function to show zeros, extreme values, and symmetryof the graph, and interpret these in terms of a context.",N,,N,,,
,,use of properties of exponents to interpret expressions for exponential functions and classify them as exponential growth or decay.,N,,N,,,
,,"comparison of properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions)",Y,,N,,,
F-LE.1-4,"The student constructs linear, quadratic, and exponential models to solve problems",determination of whether a situation can be modeled with a linear or exponential function,Y,,N,,,
,,"use of proofs to show that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals",N,,N,,,
,,identification of situations in which one quantity changes at a constant rate per unit interval relative to another,Y,,N,,,
,,identification of situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another,N,,N,,,
,,"construction of linear and exponential functions, including arithmetic and geometric sequences from a graph, a description of a relationship, or two input-output pairs (include reading these from a table). NOTE: Limit to consecutive input-output pairs for exponential functions",Y,,N,,,
,,"use of graphs and tables to show that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function",N,,N,,,
F-LE.5,The student interprets expressions for functions in terms of the situations they model,1. interpretation of the parameters in a linear or exponential function in terms of a context,Y,,N,,,
A-SSE.1-2,The student interprets the structure of expressions to solve problems in context,1. interpretation of expressions that represent a quantity in context,Y,,N,,,
,,"2. interpretation of terms, factors, and coefficients of an expression",Y,,N,,,
,,3. interpretation of complicated expressions by viewing one or more of their parts as a single entity,Y,,N,,,
,,"4. manipulation of the structure of an expression, for example, writing x4 _ y4 as a difference of squares",N,,N,,,
A-SSE.3-4,The student solves problems by writing expressions in equivalent forms,1. transformation of expressions for exponential functions using properties of exponents,N,,N,,,
,,2. derivation of the formula for the sum of a finite geometric series (when the common ratio is not 1),N,,N,,,
,,3. use of the formula for the sum of a finite geometric series to solve problems,N,,N,,,
A-APR.1,"The student performs operations (addition, subtraction, and multiplication) with polynomials","1. description of the system of polynomials as closed under the operations of addition, subtraction, and multiplication",N,,N,,,
,,"2. addition, subtraction, and multiplication of polynomials",N,,N,,,
A-APR.2-3,The student identifies and uses the relationship between zeros and factors of polynomials,1. use of the Remainder Theorem to identify factors of a polynomial p(x),N,,N,,,
,,2. use of factoring to identify zeros of polynomials,N,,N,,,
,,3. use of the zeros of a polynomial function to construct a rough graph of the function,N,,N,,,
A-APR.4,The student solves problems by using polynomial identities,1. proofs of polynomial identities,N,,N,,,
,,2. use of polynomial identities to describe numerical relationships,N,,N,,,
A-APR.6,The student rewrites rational expressions,1. manipulation of simple rational expressions to write them in different forms,N,,N,,,
,,"2. use of inspection, long division, or (for more complicated examples) a computer algebra system to write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x)",N,,N,,,
A-CED.1-4,The student solves equations and inequalities in one or more variable that describe numbers or relationships,"1. creation of equations and inequalities in one variable, including linear and quadratic functions, and simple radical and exponential functions",Y,,N,,,
S-ID.1-4,The student uses data summary techniques to aid interpretation of a single count or measurement variable,"1. plots on the real number line (dot plots, histograms, and box plots) to represent data",N,,Y,,,
,,"2. comparison of two or more different data sets by measure of center (median, mean) and spread (interquartile range) appropriate to the shape of the data distribution",N,,Y,,,
S-ID.5-6,The student uses data summary techniques to aid interpretation of two categorical and quantitative variables,1. use of two-way frequency tables to summarize categorical data for two categories,N,,N,,,
,,"2. interpretation of relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies)",N,,N,,,
,,3. identification of possible associations and trends in the data,N,,Y,,,
,,4. use of a scatter plot to represent data on two quantitative variables and describe how the variables are related,N,,Y,,,
,,"5. use of a given linear, quadratic, or exponential function to match a function to the data",N,,N,,,
,,6. use of functions fitted to data to solve problems in the context of the data,N,,Y,,,
,,7. informal assessment of the fit of a function by plotting and analyzing residuals,N,,N,,,
,,8. determination of a linear function for a scatter plot that suggests a linear association,N,,Y,,,
S-ID.7-9,The student interprets linear models representing data,1. use of the context of the data to interpret the slope (rate of change) and the intercept (constant term) of a linear model,N,,Y,,,
,,2. use of technology to compute (using technology) and interpret the correlation coefficient of a linear fit,N,,Y,,,
,,3. identification of the difference between correlation and causation,N,,Y,,,
N-CN,"The student performs operations (addition, subtraction, and multiplication) with complex numbers","1. use of the imaginary number i, such that i^2 = _1, to write complex numbers in the form a + bi with a and b real",N,,N,,,
,,"2. use of the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers",N,,N,,,
N-CN.7,The student uses complex numbers in polynomial identities and equations,1. solution of quadratic equations with real coefficients that have complex solutions,N,,N,,,
,,2. solution of problems using equations and inequalities in one variable,N,,N,,,
,,3. representation of relationships between two quantities by equations in two or more variables,N,,N,,,
,,4. use of coordinate axes with labels and scales to graph equations,N,,N,,,
,,"5. use of problem constraints to interpret solutions as viable or nonviable in modeling an equation, inequality, or systems of equations and/or inequalities",Y,,N,,,
,,6. manipulation of a formula to solve for a specific variable to highlight a particular quantity of interest,N,,N,,,
F-BF.1-2,The student models a relationship between two quantities by building a function,4. use of recursive and explicit formulas to write arithmetic and geometric sequences to model situations,N,,N,,,
,,5. translation between recursive and explicit forms,N,,N,,,
F-BF.3-4,The student builds new functions from existing functions.,"1. identification of the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative)",N,,N,,,
,,2. determination of the value of k given a graph,N,,N,,,
,,3. use of technology to experiment with cases to illustrate and explain the effect algebraic changes have on the graph of a function,N,,N,,,
,,4. inversion of a function,N,,N,,,
,,5. solution of an equation of the form f(x) = c for a simple function f that has an inverse in order to write the inverse,N,,N,,,
F-TF.1-2,The student uses the unit circle to extend the domain of trigonometric functions,1. use of radian measure to represent the length of the arc on the unit circle subtended by the angle,N,,N,,,
,,2. extension of trigonometric functions to all real numbers using the unit circle in the coordinate plane,N,,N,,,
,,3 interpretation of radian measures as angles traversed counterclockwise around the unit circle,N,,N,,,
F-TF.5,The student models periodic phenomena with trigonometric functions,"1. selection of trigonometric functions that model periodic phenomena with specified amplitude, frequency, and midline",N,,N,,,
F-TF.8,The student uses trigonometric identities in proofs and application,"1. use of the Pythagorean identity sin2(_) + cos2(_) = 1 to find sin(_), cos(_), or tan(_) given sin(_), cos(_), or tan(_) and the quadrant of the angle",N,,N,,,
G-GPE.1-2,The student translates between the geometric description and the equation for a conic section,3. use of a given focus and directrix to derive the equation of a parabola,N,,N,,,
S-IC.1-2,The student evaluates random processes underlying statistical experiments,1. explanation of statistics as a process for making inferences about population parameters based on a random sample from that population,N,,Y,,,
,,2. determination whether a specified model is consistent with results from a given data-generating process,N,,Y,,,
S-IC.3-6,"The student makes justifiable inferences from sample surveys, experiments, and observational studies","1. identification of the purposes of and differences among sample surveys, experiments, and observational studies",N,,,,,
,,"2. explanation of how randomization relates to sample surveys, experiments, and observational studies",N,,,,,
,,3. use of data from a sample survey to estimate a population mean or proportion,N,,Y,,,
,,4. use of simulation models for random sampling to develop a margin of error,N,,,,,
,,5. use of data from a randomized experiment to compare two treatments,N,,,,,
,,6. use of simulations to decide if differences between parameters are significant,N,,,,,
,,7. evaluation of reports based on data,N,,Y,,,
S-CP.1-5,The student uses independence and conditional probability to interpret data,1. description of events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes,N,,N,,,
,,"2. use of unions, intersections, or complements to describe events",N,,N,,,
,,3. determination of whether two events A and B are independent by identifying the probability of A and B occurring together as the product of their individual probabilities,N,,N,,,
,,4. identification of conditional probability of A given B as P(A and B)/P(B),N,,N,,,
,,"5. interpretation of independence of A and B as saying that the conditional probability of A given B is the same as the probability of A, and the conditional probability of B given A is the same as the probability of B",N,,N,,,
,,6. construction and interpretation of two-way frequency tables of data when two categories are associated with each object being classified,N,,N,,,
,,7. use of the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities,N,,N,,,
,,8. use of everyday language and situations to explain the concepts of conditional probability and independence,N,,N,,,
S-CP.6-7,The student computes probabilities of compound events in a uniform probability model using the rules of probability,"1. determination of the conditional probability of A given B as the fraction of B's outcomes that also belong to A, and interpret the answer in terms of the model",N,,N,,,
,,"2. determination of the conditional probability of A given B as the fraction of B's outcomes that also belong to A, and interpret the answer in terms of the model.",N,,N,,,
HSS.ID.A,"Summarize, represent, and interpret data on a single count or measurement variable","Represent data with plots on the real number line (dot plots, histograms, and box plots).",N,,Y,,,
,,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.",N,,Y,,,
,,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).",N,,Y,,,
,,"Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets, and tables to estimate areas under the normal curve.",N,,N,,,
HSS.ID.B,"Summarize, represent, and interpret data on two categorical and quantitative variables","Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.",N,,N,,,
,,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.",N,,Y,,,
,,"Fit a function to the data; use functions fitted to data to solve problems in the context of the data. Use given functions or choose a function suggested by the context. Emphasize linear, quadratic, and exponential models.",N,,Y,,,
,,Informally assess the fit of a function by plotting and analyzing residuals.,N,,N,,,
,,Fit a linear function for a scatter plot that suggests a linear association.,N,,Y,,,
HSS.ID.C,Interpret linear models,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,N,,Y,,,
,,Compute (using technology) and interpret the correlation coefficient of a linear fit.,N,,Y,,,
,,Distinguish between correlation and causation.,N,,Y,,,
HSS.IC.A,Understand and evaluate random processes underlying statistical experiments,Understand statistics as a process for making inferences about population parameters based on a random sample from that population.,N,,N,,,
,,"Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation. For example, a model says a spinning coin falls heads up with probability 0.5. Would a result of 5 tails in a row cause you to question the model?",N,,N,,,
HSS.IC.B,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies","Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each.",N,,N,,,
,,Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.,N,,N,,,
,,Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.,N,,N,,,
,,Evaluate reports based on data.,N,,N,,,
BS-M,The student models a problem in context and determines the data needed to describe the problem,identifying which quantities are fixed and which are variable,Y,,Y,,,
,,"identifying the datatype of a given quantity, in context",Y,,Y,,,
,,identifying the difference between types and values,Y,,Y,,,
BS-CE,"The student translates between structured expressions as arithmetic, code, and Circles of Evaluation",translating a simple (1-operation) equation into a Circle of Evaluation,Y,,N,,,
,,translating a nested (multi-operation) equation into a Circle of Evaluation,Y,,N,,,
,,translating a Circle of Evaluation into its equivalent arithmetic expression,Y,,N,,,
,,translating a Circle of Evaluation into its equivalent programming syntax,Y,,N,,,
BS-IDE,"The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",enter and evaluate expressions on the computer,Y,,Y,,,
,,look to error messages as a way of diagnosing syntax errors,Y,,Y,,,
BS-PL.1,The student is familiar with declaring values and applying built-in functions using the programming language,"representing (numeric, string, boolean, image, etc) values in the programming language",Y,,Y,,,
,,interpreting a function application and identifying its arguments,Y,,Y,,,
BS-PL.2,The student is comfortable using and writing Contracts for built-in functions,representing a function's input and output using a contract,Y,,Y,,,
,,using a function by refering to its contract,Y,,Y,,,
BS-PL.3,The student is able to use the syntax of the programming language to define values and functions,defining and retrieving values,Y,,Y,,,
,,writing test cases,Y,,Y,,,
,,defining and using functions,Y,,Y,,,
BS-PL.4,The student is familiar with the syntax for conditionals,defining and using functions than involve conditionals,Y,,N,,,
BS-DR.1,The student is able to translate a word problem into a Contract and Purpose Statement,"given a word problem, identify the domain and range of a function",Y,,Y,,,
,,"given a word problem, write a Purpose Statement (i.e. - rewrite the problem in their own words)",Y,,Y,,,
BS-DR.2,The student can derive test cases for a given contract and purpose statement,"given a Contract and a Purpose Statement, write multiple examples or test cases",Y,,Y,,,
,,"identifying correct and incorrect test cases for a function, based on its contract",Y,,Y,,,
,,"given multiple examples, identify patterns in order to label and name the variables",Y,,N,,,
BS-DR.3,"Given multiple test cases, the student can define a function","given examples and labeled variable(s), define the function",Y,,N,,,
,,"identifying correct and incorrect definitions for a function, based on its test cases",Y,,,,,
BS-DR.4,The student can solve word problems that involve data structures,write examples for a function that prodiuces a data structure,N,N,Y,,,
,,write functions that produce data structures,N,N,Y,,,
,,write piecewise functions that consume and produce data structures,N,N,N,,,
BS-DS.1,The student is able to read data blocks,"given a data block, identify that it is a data structure",N,Y,N,,,
,,"given a data block, identify the constructor function and dot-accessors",N,Y,N,,,
,,"given a data block, identify the correct datatypes for each field of that structure",N,Y,N,,,
,,"given a data block, create instances of the data structure",N,N,N,,,
